ДТП с водителями в состоянии опьянения, сентябрь 2025;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;882.0;-29,3;229.0;-41,3;1136.0;-26,5;16,8
Центральный федеральный округ;168.0;-37,1;29.0;-66,3;215.0;-32,2;11,9
Белгородская область;7.0;-41,7;3.0;200,0;6.0;-45,5;33,3
Брянская область;5.0;стаб.;2.0;-60,0;4.0;100,0;33,3
Владимирская область;14.0;-22,2;3.0;стаб.;19.0;-24,0;13,6
Воронежская область;18.0;-40,0;5.0;-68,8;23.0;-50,0;17,9
Ивановская область;7.0;-56,3;0.0;-100,0;10.0;-37,5;стаб.
Калужская область;8.0;-11,1;0.0;-100,0;11.0;стаб.;стаб.
Костромская область;6.0;-45,5;0.0;-100,0;12.0;-25,0;стаб.
Курская область;4.0;-76,5;1.0;-83,3;5.0;-72,2;16,7
Липецкая область;9.0;-18,2;1.0;-50,0;14.0;-6,7;6,7
гор. Москва;19.0;-5,0;1.0;-83,3;24.0;-7,7;4,0
Московская область;13.0;-56,7;3.0;-62,5;12.0;-58,6;20,0
Орловская область;3.0;-50,0;0.0;-100,0;4.0;-42,9;стаб.
Рязанская область;14.0;-12,5;2.0;-71,4;17.0;13,3;10,5
Смоленская область;3.0;-57,1;1.0;стаб.;3.0;-72,7;25,0
Тамбовская область;8.0;-27,3;1.0;-75,0;10.0;11,1;9,1
Тверская область;12.0;-29,4;4.0;стаб.;17.0;-22,7;19,0
Тульская область;8.0;-42,9;1.0;-66,7;11.0;-38,9;8,3
Ярославская область;10.0;-41,2;1.0;-66,7;13.0;-35,0;7,1
Северо-Западный федеральный округ;80.0;-38,5;19.0;-26,9;92.0;-46,5;17,1
Республика Карелия;17.0;88,9;4.0;300,0;19.0;26,7;17,4
Республика Коми;10.0;42,9;0.0;-100,0;14.0;стаб.;стаб.
Архангельская область;9.0;-47,1;1.0;-50,0;13.0;-48,0;7,1
Вологодская область;5.0;-68,8;1.0;-66,7;5.0;-78,3;16,7
Калининградская область;4.0;-55,6;0.0;-100,0;8.0;-38,5;стаб.
Ленинградская область;10.0;-60,0;4.0;-50,0;8.0;-71,4;33,3
гор. Санкт-Петербург;6.0;-62,5;2.0;100,0;5.0;-73,7;28,6
Мурманская область;6.0;-25,0;2.0;стаб.;4.0;-33,3;33,3
Новгородская область;2.0;-77,8;1.0;-66,7;1.0;-90,9;50,0
Псковская область;10.0;-28,6;3.0;-25,0;15.0;-16,7;16,7
Ненецкий автономный округ;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Южный федеральный округ;56.0;-49,1;22.0;-53,2;66.0;-49,2;25,0
Республика Адыгея (Адыгея);2.0;-60,0;0.0;-100,0;2.0;-66,7;стаб.
Республика Калмыкия;6.0;-25,0;4.0;33,3;4.0;-50,0;50,0
Республика Крым;2.0;-77,8;0.0;-100,0;2.0;-75,0;стаб.
Краснодарский край;25.0;-43,2;13.0;62,5;30.0;-43,4;30,2
Астраханская область;2.0;-66,7;0.0;-100,0;5.0;стаб.;стаб.
Волгоградская область;9.0;-35,7;1.0;-87,5;11.0;-8,3;8,3
Ростовская область;9.0;-60,9;4.0;-77,8;11.0;-70,3;26,7
гор. Севастополь;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Северо-Кавказский федеральный округ;20.0;-31,0;4.0;-76,5;25.0;-28,6;13,8
Республика Дагестан;1.0;100,0;1.0;100,0;1.0;100,0;50,0
Республика Ингушетия;3.0;200,0;0.0;-100,0;5.0;100,0;стаб.
Кабардино-Балкарская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Карачаево-Черкесская Республика;4.0;100,0;1.0;100,0;5.0;100,0;16,7
Республика Северная Осетия-Алания;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;12.0;-40,0;2.0;-77,8;14.0;-33,3;12,5
Приволжский федеральный округ;212.0;-24,6;66.0;-24,1;252.0;-29,4;20,8
Республика Башкортостан;19.0;-45,7;4.0;-63,6;23.0;-47,7;14,8
Республика Марий Эл;5.0;-61,5;1.0;-83,3;8.0;-46,7;11,1
Республика Мордовия;5.0;-54,5;0.0;-100,0;8.0;-50,0;стаб.
Республика Татарстан (Татарстан);22.0;-12,0;2.0;-60,0;25.0;4,2;7,4
Удмуртская Республика;14.0;-36,4;5.0;150,0;16.0;-38,5;23,8
Чувашская Республика - Чувашия;6.0;-33,3;0.0;-100,0;11.0;83,3;стаб.
Пермский край;28.0;-3,4;9.0;28,6;32.0;-31,9;22,0
Кировская область;19.0;-13,6;2.0;-75,0;26.0;-7,1;7,1
Нижегородская область;24.0;-25,0;7.0;-22,2;33.0;-26,7;17,5
Оренбургская область;6.0;-40,0;3.0;-40,0;5.0;-64,3;37,5
Пензенская область;11.0;-26,7;5.0;150,0;11.0;-57,7;31,3
Самарская область;23.0;43,8;14.0;16,7;24.0;118,2;36,8
Саратовская область;16.0;-44,8;10.0;42,9;18.0;-59,1;35,7
Ульяновская область;14.0;7,7;4.0;-33,3;12.0;9,1;25,0
Уральский федеральный округ;100.0;8,7;20.0;-31,0;139.0;16,8;12,6
Курганская область;8.0;-33,3;2.0;-75,0;9.0;-40,0;18,2
Свердловская область;24.0;-25,0;6.0;-14,3;29.0;-27,5;17,1
Тюменская область;27.0;58,8;6.0;100,0;30.0;76,5;16,7
Челябинская область;24.0;14,3;3.0;-62,5;39.0;44,4;7,1
Ханты-Мансийский автономный округ - Югра;15.0;114,3;3.0;стаб.;29.0;70,6;9,4
Ямало-Ненецкий автономный округ;2.0;-33,3;0.0;-100,0;3.0;стаб.;стаб.
Сибирский федеральный округ;133.0;-23,1;34.0;-39,3;186.0;-16,6;15,5
Республика Алтай;5.0;-64,3;0.0;-100,0;10.0;-37,5;стаб.
Республика Тыва;4.0;-33,3;0.0;-100,0;7.0;-22,2;стаб.
Республика Хакасия;7.0;стаб.;0.0;-100,0;12.0;71,4;стаб.
